sample,lat,long
G0425,52.2083000000,1.6577166667
G0426,52.2048000000,1.6577166667
G0427,52.2012833333,1.6579333333
G0428,52.1974833333,1.6581666667
G0429,52.1938333333,1.6584000000
G0430,52.2272666667,1.6618333333
G0431,52.2232000000,1.6625166667
G0432,52.2196833333,1.6622833333
G0433,52.2163166667,1.6625166667
G0434,52.2121000000,1.6625166667
G0435,52.2083000000,1.6625166667
G0436,52.2048000000,1.6629666667
G0437,52.2012833333,1.6629666667
G0438,52.1974833333,1.6629666667
G0439,52.1939666667,1.6632000000
G0440,52.3222667000,1.6943166700
G0441,52.3198833000,1.7039166700
G0442,52.3180667000,1.7128333300
G0443,52.3159500000,1.7215333300
G0444,52.3137167000,1.7304500000
G0445,52.3120333000,1.7405166700
G0446,52.3103500000,1.7487500000
G0447,52.3085333000,1.7567500000
G0448,52.3025000000,1.7604166700
G0449,52.2968833000,1.7629333300
G0450,52.2914167000,1.7649833300
G0451,52.2858167000,1.7661333300
G0452,52.2795000000,1.7668166700
G0453,52.3273167000,1.6963666700
G0454,52.3259167000,1.7050666700
G0455,52.3246500000,1.7149000000
G0456,52.3231000000,1.7229000000
G0457,52.3214167000,1.7329666700
G0458,52.3197333000,1.7414333300
G0459,52.3186167000,1.7505833300
G0460,52.3168000000,1.7597333300
G0461,52.3152500000,1.7686500000
G0462,52.3096500000,1.7707000000
G0463,52.3034833000,1.7720833300
G0464,52.2981500000,1.7732166700
G0465,52.2924000000,1.7746000000
G0466,52.2862333000,1.7762000000
G0467,52.2797667000,1.7768833300
G0468,52.1706333000,1.6176833300
G0469,52.1702000000,1.6270666700
G0470,52.1697833000,1.6369000000
G0471,52.1697833000,1.6467333300
G0472,52.1695000000,1.6552000000
G0473,52.1690833000,1.6641166700
G0474,52.1689333000,1.6730333300
G0475,52.1688000000,1.6821833300
G0476,52.1686667000,1.6915666700
G0477,52.1683833000,1.7002500000
G0478,52.1682333000,1.7103166700
G0479,52.1678167000,1.7194666700
G0480,52.1676833000,1.7283833300
G0481,52.1675333000,1.7384500000
G0482,52.1671167000,1.7480666700
G0483,52.1669667000,1.7569833300
G0484,52.1668333000,1.7661333300
G0485,52.1648667000,1.6142500000
G0486,52.1643000000,1.6240833300
G0487,52.1643000000,1.6339166700
G0488,52.1641500000,1.6430666700
G0489,52.1640167000,1.6522166700
G0490,52.1638833000,1.6613666700
G0491,52.1637333000,1.6712000000
G0491,52.1637333000,1.6712000000
G0492,52.1633167000,1.6805833300
G0493,52.1631667000,1.6899666700
G0494,52.1628833000,1.6988833300
G0495,52.1624667000,1.7075833300
G0496,52.1621833000,1.7171833300
G0497,52.1616167000,1.7267833300
G0498,52.1616167000,1.7359333300
G0499,52.1613500000,1.7453166700
G0500,52.1610667000,1.7556166700
G0501,,
G0n075,,
G0nnn,,
 Covehithe 28-5-09 CH1 Sand/Gravel above Mud LAyer,52.377972,1.712153
 Covehithe 28-5-09 CH1 Sand/Gravel above Mud LAyer,52.377972,1.712153
 Covehithe 28-5-09 CH1 Sand/Gravel above Mud LAyer,52.377972,1.712153
 Covehithe 28-5-09 CH1 Sand/Gravel above Mud LAyer - Average,52.377972,1.712153
 CH2,52.377972,1.712153
 CH2,52.377972,1.712153
 CH2,52.377972,1.712153
 CH2 - Average,52.377972,1.712153
 CH 3 Sand Below Mud 28-5-09,52.377972,1.712153
 CH 3 Sand Below Mud 28-5-09,52.377972,1.712153
 CH 3 Sand Below Mud 28-5-09,52.377972,1.712153
 CH 3 Sand Below Mud 28-5-09 - Average,52.377972,1.712153
 CH5,52.377972,1.712153
 CH5,52.377972,1.712153
 CH5,52.377972,1.712153
